Name,Speaker,Text,EndsScene,ChoiceA_Text,ChoiceA_Next,ChoiceA_LoyaltyId,ChoiceA_LoyaltyDelta,ChoiceA_HeatDelta,ChoiceA_ControlId,ChoiceA_ControlDelta,ChoiceA_Flag,ChoiceB_Text,ChoiceB_Next,ChoiceB_LoyaltyId,ChoiceB_LoyaltyDelta,ChoiceB_HeatDelta,ChoiceB_ControlId,ChoiceB_ControlDelta,ChoiceB_Flag,ChoiceC_Text,ChoiceC_Next,ChoiceC_LoyaltyId,ChoiceC_LoyaltyDelta,ChoiceC_HeatDelta,ChoiceC_ControlId,ChoiceC_ControlDelta,ChoiceC_Flag
Rico_Brief_01,Rico,"Neon Row is leaking. Two crews on the east mouths, cameras still live. Marcus wants a debrief after — he always does. Who do you put on the street?",False,I'll pick the crew.,Rico_Brief_Pick,,0,0,,0,openAssign,Rico and Ray. Hold the corners.,Rico_Brief_Ray,Rico,2,0,,0,preselectRicoRay,Ask Lena before anyone walks.,Rico_Brief_Lena,Lena,2,0,,0,
Rico_Brief_Pick,Rico,"Your table. Keep it to three. Marcus stays in the Hall — he is the debrief, not the street.",True,Open the roster.,,,0,0,,0,openAssign,,,,0,0,,0,,,,,0,0,,0,
Rico_Brief_Ray,Rico,Ray already knows the corners. I'll walk with him. You can still swap bodies on the roster.,True,Open the roster.,,Ray,1,0,,0,openAssign,,,,0,0,,0,,,,,0,0,,0,
Rico_Brief_Lena,Lena,"The alley cameras dump to a clerk on Market. If we cut the lights we lose claim but we lose heat. If we leave them, Marcus will smell it.",True,Lena walks. Cut the lights if it comes to it.,,Lena,3,0,,0,preselectLena,Keep Lena off the street. I'll pick.,,,0,0,,0,openAssign,,,,0,0,,0,
Marcus_Win_01,Marcus,You held the Row. The corners are ours until morning. I don't want the story you tell the Hall. I want names. Who called the shots on the ground?,False,Rico ran the corners.,Marcus_Win_Rico,Rico,6,0,,0,,The crew held it together.,Marcus_Win_Crew,,0,0,,0,creditCrew,I called it from the Hall.,Marcus_Win_Ego,,0,0,,0,creditSelf
Marcus_Win_Rico,Marcus,"Rico can carry a street. Cameras still have us. Burn the footage, pay the clerk, or leave them and hope.",False,Burn the footage.,Marcus_Win_End,Lena,4,-10,NeonRow,0,completeDebrief,Pay the clerk.,Marcus_Win_End,Marcus,6,-4,NeonRow,0,completeDebrief,Leave the cameras.,Marcus_Win_End,Vex,6,8,NeonRow,-4,completeDebrief
Marcus_Win_Crew,Marcus,"Shared credit keeps them. Cameras still have us. Burn, pay, or leave them.",False,Burn the footage.,Marcus_Win_End,Lena,4,-10,NeonRow,0,completeDebrief,Pay the clerk.,Marcus_Win_End,Marcus,6,-4,NeonRow,0,completeDebrief,Leave the cameras.,Marcus_Win_End,Vex,6,8,NeonRow,-4,completeDebrief
Marcus_Win_Ego,Marcus,They noticed. Loyalty thins when the Hall takes the name. Cameras still have us.,False,Burn the footage.,Marcus_Win_End,Marcus,-2,-10,NeonRow,0,completeDebrief,Pay the clerk.,Marcus_Win_End,Marcus,4,-4,NeonRow,0,completeDebrief,Leave the cameras.,Marcus_Win_End,Vex,8,10,NeonRow,-6,completeDebrief
Marcus_Win_End,Marcus,That's the debrief. Watch the meters. Neon Row will leak if you stop putting bodies on it.,True,,,,0,0,,0,,,,,0,0,,0,,,,,0,0,,0,
Marcus_Loss_01,Marcus,"We lost the Row. Heat is going to crawl toward the Hall. I still need names. Who do we put on the next walk, and what do we do about the cameras?",False,Rico owns the miss. He'll fix it.,Marcus_Loss_Rico,Rico,-6,4,NeonRow,0,,The crew takes it together.,Marcus_Loss_Crew,,0,2,,0,creditCrew,I called a bad walk.,Marcus_Loss_Ego,Marcus,4,0,,0,creditSelf
Marcus_Loss_Rico,Marcus,"Rico will remember that. Cameras still have the miss. Burn, pay, or leave them.",False,Burn the footage.,Marcus_Loss_End,Lena,3,-8,NeonRow,0,completeDebrief,Pay the clerk.,Marcus_Loss_End,Marcus,5,-2,NeonRow,0,completeDebrief,Leave the cameras.,Marcus_Loss_End,Vex,8,12,NeonRow,-6,completeDebrief
Marcus_Loss_Crew,Marcus,Shared blame is cheaper than a scapegoat. Cameras still have the miss.,False,Burn the footage.,Marcus_Loss_End,Lena,3,-8,NeonRow,0,completeDebrief,Pay the clerk.,Marcus_Loss_End,Marcus,5,-2,NeonRow,0,completeDebrief,Leave the cameras.,Marcus_Loss_End,Vex,8,12,NeonRow,-6,completeDebrief
Marcus_Loss_Ego,Marcus,Owning it from the Hall is rare. They'll give you one more night. Cameras still have the miss.,False,Burn the footage.,Marcus_Loss_End,Lena,4,-8,NeonRow,0,completeDebrief,Pay the clerk.,Marcus_Loss_End,Marcus,6,-2,NeonRow,0,completeDebrief,Leave the cameras.,Marcus_Loss_End,Vex,6,12,NeonRow,-6,completeDebrief
Marcus_Loss_End,Marcus,That's the debrief. The Row is thin. Tick the night and watch control leak — or go take it back.,True,,,,0,0,,0,,,,,0,0,,0,,,,,0,0,,0,
Rico_Docks_01,Rico,Warehouse door on the river is ajar. We can take the Docks if the Row isn't on fire. Two bodies minimum.,True,Open the roster.,,,0,0,,0,openAssignDocks,Not tonight.,,,0,0,,0,cancelQuest,,,,0,0,,0,
Rico_Market_01,Rico,Stalls on the Strip will pay if we reclaim them. Not v0. Don't open this until the Row loop is boring.,True,Understood.,,,0,0,,0,,,,,0,0,,0,,,,,0,0,,0,
Rico_Ward_01,Rico,Old Ward is masonry and empty lots. Reclamation work. Not v0.,True,Understood.,,,0,0,,0,,,,,0,0,,0,,,,,0,0,,0,
Event_Vex_01,Marcus,Vex didn't show. Someone sold the Docks route. Loyalty was already thin. They're gone.,True,Cut them loose.,,Vex,-100,8,Docks,-16,vexBetrayed,,,,0,0,,0,,,,,0,0,,0,
Event_Rico_01,Marcus,Rico's phone is dead. Hall keys are gone. He left a note: You wanted the name on the door. Keep it.,True,Let him walk.,,Rico,-100,6,Hall,-8,ricoBetrayed,,,,0,0,,0,,,,,0,0,,0,
